model,term,coefficient,std_error,t_stat,p_value,ci_95_lower,ci_95_upper,window_start,window_end
state_5-year,C(region)[T.Mizoram],8.315792634111838e-16,2.1158487376698052e-16,3.930239665085918,8.486123185920662e-05,4.1688053115444827e-16,1.2462779956679192e-15,2021-08-01,2026-07-01
state_5-year,C(region)[T.Nagaland],46.2302500635056,1.7125885340925073,26.9943708854753,1.7208145922223913e-160,42.87363821634804,49.58686191066316,2021-08-01,2026-07-01
state_5-year,C(region)[T.Odisha],52.663314369095545,2.676741419493539,19.67441232297286,3.572946626381092e-86,47.416997590961586,57.909631147229504,2021-08-01,2026-07-01
state_5-year,C(region)[T.Punjab],56.90634624813905,3.222532361375942,17.65889054527336,8.693161165721212e-70,50.59029888082739,63.22239361545071,2021-08-01,2026-07-01
state_5-year,C(region)[T.Rajasthan],58.22678314908089,3.563466178301109,16.33992866373735,5.131290369686383e-60,51.242517779484125,65.21104851867764,2021-08-01,2026-07-01
state_5-year,C(region)[T.Sikkim],-1.335457510613069e-15,2.895950500456217e-16,-4.611465252609415,3.9984050102747e-06,-1.903053378803562e-15,-7.67861642422576e-16,2021-08-01,2026-07-01
state_5-year,C(region)[T.Tamil Nadu],71.32701600674872,3.421984600157125,20.843757158776707,1.736598372714282e-96,64.62004943479006,78.03398257870738,2021-08-01,2026-07-01
state_5-year,C(region)[T.Telangana],59.1102716300764,2.7340211763064577,21.62026839526231,1.1580195370925671e-103,53.75168859154591,64.4688546686069,2021-08-01,2026-07-01
state_5-year,C(region)[T.Tripura],52.00290180425202,2.622658490655265,19.82831618738863,1.696236191711592e-87,46.86258561881952,57.143217989684516,2021-08-01,2026-07-01
state_5-year,C(region)[T.Uttar Pradesh],57.52877027569096,3.6466973133069462,15.775581391349961,4.581598167725025e-56,50.381374879090366,64.67616567229155,2021-08-01,2026-07-01
state_5-year,C(region)[T.Uttarakhand],52.805688314220546,2.606804012396094,20.256869355392464,3.0899588652996144e-91,47.696446335169696,57.9149302932714,2021-08-01,2026-07-01
state_5-year,C(region)[T.West Bengal],57.43304886559302,3.0068532256435865,19.100715783458323,2.490494375396293e-81,51.5397248365335,63.32637289465254,2021-08-01,2026-07-01
state_5-year,rainfall_anomaly_lag1_z,-0.9339721399535934,0.47707279860463775,-1.957714090355421,0.050263570932015354,-1.869017643222414,0.001073363315227116,2021-08-01,2026-07-01
state_5-year,temperature_anomaly_lag1_z,4.283778056006714,0.7103041688059424,6.030906538543852,1.6304246511078468e-09,2.8916074670784075,5.67594864493502,2021-08-01,2026-07-01
state_5-year,relative_humidity_pct_z,-1.8041462581415568,0.8887000275874442,-2.0300958727764153,0.042346794976528435,-3.5459663052726995,-0.06232621101041391,2021-08-01,2026-07-01
state_5-year,log_source_rows_z,-1.332853685315277,0.6932361333159826,-1.9226546644933058,0.05452343394063854,-2.6915715393964104,0.025864168765856288,2021-08-01,2026-07-01
state_5-year,trend_years_z,-4.629034994305627,0.5696589223465515,-8.125976461910936,4.4377515319437817e-16,-5.745545965576767,-3.5125240230344867,2021-08-01,2026-07-01
state_10-year,Intercept,-21.633353351559947,1.955837592309838,-11.06091499448634,1.941071694532442e-28,-25.466724592096764,-17.79998211102313,2016-08-01,2026-07-01
state_10-year,C(calendar_month)[T.2],-2.062325727719274,0.9165840705344999,-2.2500126218827288,0.024448144093139793,-3.8587974947700143,-0.26585396066853395,2016-08-01,2026-07-01
state_10-year,C(calendar_month)[T.3],-3.0675632593331246,1.033157144627033,-2.969115855497962,0.002986579707477245,-5.092514053172349,-1.0426124654939004,2016-08-01,2026-07-01
